Audit_Log_ID,Account_ID,Event_Time,User_Name,Client_Host,DB_Name,Table_Name,Operation,SQL_Statement,Status,Affected_Rows,Remarks,Old_Data,New_Data,Created_At,Updated_At
AU000001,ACC0061,17/4/23 13:19,rdavis61,192.168.109.92,public_db,Payments,DELETE,EXECUTED_STATEMENT,error,33,Reserve family meeting secure secure public,,,7/9/23 20:47,15/4/25 07:15
AU000002,ACC0034,16/8/23 21:57,sjones34,192.168.104.10,public_db,Users,UPDATE,EXECUTED_STATEMENT,error,32,Service area public area space friendly,,,16/2/23 08:43,21/10/25 18:58
AU000003,ACC0077,9/1/23 15:33,mjackson77,192.168.19.132,public_db,Public_Places,UPDATE,EXECUTED_STATEMENT,ok,22,Friendly facility facility community secure access,,,10/10/23 02:16,16/11/24 06:36
AU000004,ACC0016,30/6/24 11:07,canderson16,192.168.209.84,public_db,Payments,DELETE,EXECUTED_STATEMENT,ok,30,Secure friendly space service family gathering,,,6/9/24 06:50,26/10/24 10:09
AU000005,ACC0049,13/10/24 03:11,cjones49,192.168.245.114,public_db,Public_Places,UPDATE,EXECUTED_STATEMENT,error,37,Central nearby area secure public available,,,11/6/23 13:41,6/10/25 15:39
AU000006,ACC0034,1/12/23 01:55,sjones34,192.168.14.177,public_db,Bookings,INSERT,EXECUTED_STATEMENT,ok,34,Spot event area community central secure,,,29/11/23 05:57,7/4/24 03:05
AU000007,ACC0070,2/5/25 14:54,rtaylor70,192.168.148.232,public_db,Users,UPDATE,EXECUTED_STATEMENT,error,24,Meeting central friendly meeting friendly central,,,26/7/24 21:13,14/1/25 15:56
AU000008,ACC0022,23/2/25 13:30,handerson22,192.168.251.85,public_db,Feedback,DELETE,EXECUTED_STATEMENT,ok,33,Reserve secure space public access spot,,,1/6/22 05:00,2/11/24 19:15
AU000009,ACC0070,20/1/23 23:16,rtaylor70,192.168.231.231,public_db,Bookings,SELECT,EXECUTED_STATEMENT,ok,21,Friendly service central meeting event space,,,29/6/23 07:30,11/3/25 18:04
AU000010,ACC0098,24/11/22 19:02,rwilson98,192.168.200.252,public_db,Feedback,INSERT,EXECUTED_STATEMENT,ok,11,Reserve available area service friendly secure,,,22/8/22 02:58,14/8/25 08:56
AU000011,ACC0079,3/10/24 19:36,tgarcia79,192.168.40.71,public_db,Users,INSERT,EXECUTED_STATEMENT,ok,47,Friendly book family secure spot secure,,,4/8/22 16:12,24/4/25 21:00
AU000012,ACC0007,29/1/24 11:29,srodriguez7,192.168.75.144,public_db,Public_Places,SELECT,EXECUTED_STATEMENT,ok,14,Secure gathering available book reserve service,,,12/2/22 16:55,13/1/24 11:35
AU000013,ACC0025,17/9/22 14:21,rjackson25,192.168.10.192,public_db,Bookings,INSERT,EXECUTED_STATEMENT,ok,50,Spot community nearby service family nearby,,,22/9/23 04:53,23/10/25 11:28
AU000014,ACC0045,6/9/22 08:51,awilson45,192.168.218.11,public_db,Feedback,INSERT,EXECUTED_STATEMENT,error,34,Friendly family reserve community event family,,,6/9/23 07:43,17/4/25 07:31
AU000015,ACC0052,23/5/22 12:29,clopez52,192.168.254.53,public_db,Public_Places,SELECT,EXECUTED_STATEMENT,ok,28,Space book service spot spot area,,,11/5/23 22:31,2/3/24 00:15
AU000016,ACC0081,15/11/23 19:49,asmith81,192.168.164.250,public_db,Public_Places,INSERT,EXECUTED_STATEMENT,error,40,Nearby facility area book family secure,,,6/5/23 21:17,14/5/25 20:41
AU000017,ACC0024,2/1/24 12:37,qjones24,192.168.59.26,public_db,Public_Places,DELETE,EXECUTED_STATEMENT,ok,25,Nearby available book secure central facility,,,8/1/23 16:38,29/1/24 05:46
AU000018,ACC0070,2/5/25 15:21,rtaylor70,192.168.193.105,public_db,Bookings,DELETE,EXECUTED_STATEMENT,ok,18,Open space secure meeting secure book,,,6/6/22 01:16,17/4/24 22:41
AU000019,ACC0090,3/8/24 11:46,qmartin90,192.168.104.86,public_db,Feedback,DELETE,EXECUTED_STATEMENT,error,16,Community gathering public open spot community,,,1/10/24 07:47,9/1/24 09:36
AU000020,ACC0019,23/9/24 15:16,ddavis19,192.168.106.109,public_db,Payments,INSERT,EXECUTED_STATEMENT,error,40,Meeting meeting public friendly area event,,,9/3/23 00:47,12/8/25 14:59
AU000021,ACC0074,2/4/22 15:13,cjohnson74,192.168.253.103,public_db,Users,INSERT,EXECUTED_STATEMENT,ok,11,Service friendly meeting available facility meeting,,,18/10/23 12:45,24/4/24 08:38
AU000022,ACC0099,5/11/23 19:34,janderson99,192.168.232.35,public_db,Public_Places,INSERT,EXECUTED_STATEMENT,error,17,Family community nearby secure nearby nearby,,,5/8/22 13:58,4/10/24 01:16
AU000023,ACC0026,17/9/23 07:34,rlopez26,192.168.33.130,public_db,Public_Places,UPDATE,EXECUTED_STATEMENT,error,28,Book gathering service reserve area meeting,,,30/8/24 16:21,15/1/24 09:08
AU000024,ACC0013,22/4/23 00:18,rgarcia13,192.168.6.160,public_db,Bookings,DELETE,EXECUTED_STATEMENT,ok,32,Secure family nearby open public public,,,26/6/23 06:04,10/2/24 09:32
AU000025,ACC0009,3/9/25 06:12,dtaylor9,192.168.119.229,public_db,Bookings,INSERT,EXECUTED_STATEMENT,error,28,Facility community friendly space space book,,,12/7/23 03:37,1/8/25 07:49
AU000026,ACC0021,9/7/23 13:30,jgonzalez21,192.168.122.216,public_db,Feedback,INSERT,EXECUTED_STATEMENT,ok,39,Facility available space available public friendly,,,11/8/24 01:01,24/8/25 20:19
AU000027,ACC0061,6/11/22 14:11,rdavis61,192.168.130.222,public_db,Feedback,SELECT,EXECUTED_STATEMENT,ok,11,Open space facility meeting public meeting,,,27/6/23 23:30,20/11/25 07:47
AU000028,ACC0023,8/5/24 03:37,tthomas23,192.168.55.137,public_db,Feedback,INSERT,EXECUTED_STATEMENT,ok,12,Event service space gathering space community,,,28/3/24 16:20,12/12/25 23:46
AU000029,ACC0022,25/4/22 05:30,handerson22,192.168.17.9,public_db,Feedback,DELETE,EXECUTED_STATEMENT,ok,25,Family access public spot open nearby,,,5/3/22 00:21,13/12/24 16:55
AU000030,ACC0061,23/5/25 11:23,rdavis61,192.168.15.16,public_db,Bookings,SELECT,EXECUTED_STATEMENT,ok,8,Event friendly nearby community facility available,,,3/7/22 06:53,5/2/24 23:49
AU000031,ACC0058,18/12/22 05:50,brodriguez58,192.168.47.28,public_db,Payments,SELECT,EXECUTED_STATEMENT,ok,47,Service family book facility open community,,,4/6/23 11:30,27/12/25 10:10
AU000032,ACC0096,14/4/24 04:04,sdavis96,192.168.253.29,public_db,Feedback,UPDATE,EXECUTED_STATEMENT,ok,30,Secure facility event access nearby public,,,7/4/23 10:58,27/10/24 04:47
AU000033,ACC0024,9/1/24 05:15,qjones24,192.168.47.166,public_db,Public_Places,INSERT,EXECUTED_STATEMENT,ok,21,Open central meeting space nearby central,,,4/2/22 21:14,5/10/24 11:06
AU000034,ACC0095,2/7/24 17:16,panderson95,192.168.92.97,public_db,Feedback,INSERT,EXECUTED_STATEMENT,ok,43,Open available gathering space central facility,,,11/6/22 23:43,21/4/25 21:56
AU000035,ACC0039,15/2/25 00:52,tlopez39,192.168.68.70,public_db,Users,DELETE,EXECUTED_STATEMENT,error,7,Gathering public public book event central,,,6/7/22 06:12,16/3/25 19:40
AU000036,ACC0052,10/12/25 10:23,clopez52,192.168.211.66,public_db,Public_Places,SELECT,EXECUTED_STATEMENT,error,8,Area gathering space community service event,,,15/6/23 00:51,7/6/25 08:24
AU000037,ACC0057,8/9/25 20:17,rgarcia57,192.168.45.251,public_db,Feedback,INSERT,EXECUTED_STATEMENT,ok,31,Meeting secure public access community access,,,19/12/24 07:20,6/2/25 22:08
AU000038,ACC0094,4/7/25 04:39,rdavis94,192.168.101.202,public_db,Users,UPDATE,EXECUTED_STATEMENT,error,34,Meeting access access nearby service public,,,16/12/24 14:56,22/11/24 09:59
AU000039,ACC0056,19/1/23 05:23,esmith56,192.168.4.44,public_db,Bookings,UPDATE,EXECUTED_STATEMENT,ok,47,Reserve book reserve family gathering event,,,3/3/23 07:55,3/1/24 02:13
AU000040,ACC0003,7/2/22 19:58,nwilliams3,192.168.192.64,public_db,Users,SELECT,EXECUTED_STATEMENT,error,15,Spot available community service friendly spot,,,4/7/22 04:25,15/9/24 04:20
AU000041,ACC0052,6/1/22 00:50,clopez52,192.168.47.99,public_db,Feedback,UPDATE,EXECUTED_STATEMENT,ok,8,Book area facility secure book central,,,30/7/24 22:29,15/2/24 14:08
AU000042,ACC0002,14/1/25 12:15,canderson2,192.168.153.140,public_db,Bookings,SELECT,EXECUTED_STATEMENT,error,16,Gathering community community spot secure spot,,,22/7/23 07:58,12/9/24 15:49
AU000043,ACC0016,18/7/22 08:53,canderson16,192.168.228.22,public_db,Bookings,INSERT,EXECUTED_STATEMENT,error,5,Book spot gathering meeting service friendly,,,25/9/23 05:27,19/1/24 06:53
AU000044,ACC0082,17/6/23 00:26,mgarcia82,192.168.35.93,public_db,Payments,DELETE,EXECUTED_STATEMENT,ok,17,Access community event central available meeting,,,14/7/23 14:43,18/3/25 16:04
AU000045,ACC0019,20/4/22 03:28,ddavis19,192.168.29.141,public_db,Payments,DELETE,EXECUTED_STATEMENT,ok,8,Reserve service space service central book,,,17/11/24 16:15,2/9/25 10:31
AU000046,ACC0001,2/11/22 14:14,csmith1,192.168.72.9,public_db,Feedback,DELETE,EXECUTED_STATEMENT,ok,31,Meeting event public area central available,,,30/1/23 14:59,15/11/24 05:49
AU000047,ACC0029,7/12/23 16:32,bjohnson29,192.168.8.3,public_db,Users,INSERT,EXECUTED_STATEMENT,ok,39,Space friendly nearby spot event service,,,7/5/24 02:31,5/10/25 06:25
AU000048,ACC0081,2/11/23 12:35,asmith81,192.168.9.74,public_db,Public_Places,INSERT,EXECUTED_STATEMENT,ok,3,Facility open space access community space,,,12/5/23 19:01,26/5/24 16:41
AU000049,ACC0012,2/3/22 03:16,tjohnson12,192.168.89.52,public_db,Payments,SELECT,EXECUTED_STATEMENT,ok,22,Space community central central reserve community,,,29/5/24 15:50,28/11/24 08:10
AU000050,ACC0099,14/6/23 11:21,janderson99,192.168.195.186,public_db,Bookings,DELETE,EXECUTED_STATEMENT,ok,9,Nearby access area available gathering nearby,,,8/8/22 22:38,31/3/24 12:07
AU000051,ACC0031,15/1/22 13:19,nlopez31,192.168.255.185,public_db,Payments,DELETE,EXECUTED_STATEMENT,error,9,Meeting event nearby space nearby service,,,1/12/22 11:34,13/4/24 04:35
AU000052,ACC0059,30/9/25 06:40,jtaylor59,192.168.201.116,public_db,Bookings,SELECT,EXECUTED_STATEMENT,error,45,Secure central central friendly nearby family,,,20/7/23 02:47,28/9/25 16:05
AU000053,ACC0053,22/1/25 16:05,dgarcia53,192.168.138.203,public_db,Feedback,DELETE,EXECUTED_STATEMENT,error,29,Secure book spot available gathering community,,,11/8/22 18:34,6/11/24 18:13
AU000054,ACC0073,16/9/24 10:58,amartinez73,192.168.74.33,public_db,Payments,DELETE,EXECUTED_STATEMENT,error,13,Event event access reserve gathering open,,,15/8/22 05:29,29/3/24 12:14
AU000055,ACC0082,5/6/24 09:12,mgarcia82,192.168.182.42,public_db,Users,DELETE,EXECUTED_STATEMENT,ok,1,Nearby book meeting meeting secure friendly,,,27/7/22 22:17,19/5/25 07:07
AU000056,ACC0070,1/2/25 02:55,rtaylor70,192.168.75.119,public_db,Payments,INSERT,EXECUTED_STATEMENT,error,14,Event event spot meeting family service,,,2/1/23 02:21,24/6/25 18:49
AU000057,ACC0036,16/4/25 15:17,pmartin36,192.168.11.104,public_db,Public_Places,DELETE,EXECUTED_STATEMENT,ok,22,Secure secure nearby open open family,,,29/9/23 07:08,3/11/25 10:09
AU000058,ACC0011,17/1/23 08:59,pjackson11,192.168.15.31,public_db,Public_Places,INSERT,EXECUTED_STATEMENT,error,39,Reserve service community central facility public,,,31/10/24 14:01,24/2/24 02:07
AU000059,ACC0026,1/12/22 02:16,rlopez26,192.168.103.27,public_db,Feedback,SELECT,EXECUTED_STATEMENT,ok,5,Space meeting central area central facility,,,28/8/22 08:45,19/4/24 18:04
AU000060,ACC0096,22/7/22 21:28,sdavis96,192.168.238.196,public_db,Feedback,SELECT,EXECUTED_STATEMENT,ok,49,Reserve family friendly family open nearby,,,28/12/23 22:27,22/2/24 18:28
AU000061,ACC0034,21/7/22 21:11,sjones34,192.168.145.217,public_db,Public_Places,DELETE,EXECUTED_STATEMENT,error,0,Available space nearby event event open,,,2/9/22 00:49,28/4/25 06:03
AU000062,ACC0072,18/12/24 16:09,jdavis72,192.168.1.121,public_db,Payments,SELECT,EXECUTED_STATEMENT,ok,45,Area public access access spot service,,,20/8/24 05:37,12/5/24 07:23
